"variable","iteration","chain","mean"
"race","8","Chain 5",NA
"education","8","Chain 5",3.37209302325581
"pir","8","Chain 5",4.80612026535416
"smoke","8","Chain 5",1
"cycle","8","Chain 5",NA
"stratum","8","Chain 5",NA
"psu","8","Chain 5",NA
"logweight","8","Chain 5",NA
"ra","9","Chain 5",NA
"asthma_aux","9","Chain 5",NA
"age1","9","Chain 5",NA
"age2","9","Chain 5",NA
"age3","9","Chain 5",NA
"sex","9","Chain 5",NA
"race","9","Chain 5",NA
"education","9","Chain 5",5
"pir","9","Chain 5",0.765578857265149
"smoke","9","Chain 5",1
"cycle","9","Chain 5",NA
"stratum","9","Chain 5",NA
"psu","9","Chain 5",NA
"logweight","9","Chain 5",NA
"ra","10","Chain 5",NA
"asthma_aux","10","Chain 5",NA
"age1","10","Chain 5",NA
"age2","10","Chain 5",NA
"age3","10","Chain 5",NA
"sex","10","Chain 5",NA
"race","10","Chain 5",NA
"education","10","Chain 5",5
"pir","10","Chain 5",0.768337256580366
"smoke","10","Chain 5",1
"cycle","10","Chain 5",NA
"stratum","10","Chain 5",NA
"psu","10","Chain 5",NA
"logweight","10","Chain 5",NA
"ra","1","Chain 6",NA
"asthma_aux","1","Chain 6",NA
"age1","1","Chain 6",NA
"age2","1","Chain 6",NA
"age3","1","Chain 6",NA
"sex","1","Chain 6",NA
"race","1","Chain 6",NA
"education","1","Chain 6",1.22093023255814
"pir","1","Chain 6",0.767203081532215
"smoke","1","Chain 6",1
"cycle","1","Chain 6",NA
"stratum","1","Chain 6",NA
"psu","1","Chain 6",NA
"logweight","1","Chain 6",NA
"ra","2","Chain 6",NA
"asthma_aux","2","Chain 6",NA
"age1","2","Chain 6",NA
"age2","2","Chain 6",NA
"age3","2","Chain 6",NA
"sex","2","Chain 6",NA
"race","2","Chain 6",NA
"education","2","Chain 6",1.22093023255814
"pir","2","Chain 6",0.778775946929176
"smoke","2","Chain 6",1
"cycle","2","Chain 6",NA
"stratum","2","Chain 6",NA
"psu","2","Chain 6",NA
"logweight","2","Chain 6",NA
"ra","3","Chain 6",NA
"asthma_aux","3","Chain 6",NA
"age1","3","Chain 6",NA
"age2","3","Chain 6",NA
"age3","3","Chain 6",NA
"sex","3","Chain 6",NA
"race","3","Chain 6",NA
"education","3","Chain 6",1.1046511627907
"pir","3","Chain 6",3.08624224267065
"smoke","3","Chain 6",1.86792452830189
"cycle","3","Chain 6",NA
"stratum","3","Chain 6",NA
"psu","3","Chain 6",NA
"logweight","3","Chain 6",NA
"ra","4","Chain 6",NA
"asthma_aux","4","Chain 6",NA
"age1","4","Chain 6",NA
"age2","4","Chain 6",NA
"age3","4","Chain 6",NA
"sex","4","Chain 6",NA
"race","4","Chain 6",NA
"education","4","Chain 6",5
"pir","4","Chain 6",4.80612026535416
"smoke","4","Chain 6",1.84905660377358
"cycle","4","Chain 6",NA
"stratum","4","Chain 6",NA
"psu","4","Chain 6",NA
"logweight","4","Chain 6",NA
"ra","5","Chain 6",NA
"asthma_aux","5","Chain 6",NA
"age1","5","Chain 6",NA
"age2","5","Chain 6",NA
"age3","5","Chain 6",NA
"sex","5","Chain 6",NA
"race","5","Chain 6",NA
"education","5","Chain 6",5
"pir","5","Chain 6",0.811660603466734
"smoke","5","Chain 6",1
"cycle","5","Chain 6",NA
"stratum","5","Chain 6",NA
"psu","5","Chain 6",NA
"logweight","5","Chain 6",NA
"ra","6","Chain 6",NA
"asthma_aux","6","Chain 6",NA
"age1","6","Chain 6",NA
"age2","6","Chain 6",NA
"age3","6","Chain 6",NA
"sex","6","Chain 6",NA
"race","6","Chain 6",NA
"education","6","Chain 6",1.22093023255814
"pir","6","Chain 6",0.83078108281619
"smoke","6","Chain 6",1.94339622641509
"cycle","6","Chain 6",NA
"stratum","6","Chain 6",NA
"psu","6","Chain 6",NA
"logweight","6","Chain 6",NA
"ra","7","Chain 6",NA
"asthma_aux","7","Chain 6",NA
"age1","7","Chain 6",NA
"age2","7","Chain 6",NA
"age3","7","Chain 6",NA
"sex","7","Chain 6",NA
"race","7","Chain 6",NA
"education","7","Chain 6",5
"pir","7","Chain 6",0.768716028247386
"smoke","7","Chain 6",2.09433962264151
"cycle","7","Chain 6",NA
"stratum","7","Chain 6",NA
"psu","7","Chain 6",NA
"logweight","7","Chain 6",NA
"ra","8","Chain 6",NA
"asthma_aux","8","Chain 6",NA
"age1","8","Chain 6",NA
"age2","8","Chain 6",NA
"age3","8","Chain 6",NA
"sex","8","Chain 6",NA
"race","8","Chain 6",NA
"education","8","Chain 6",5
"pir","8","Chain 6",0.77731649903703
"smoke","8","Chain 6",2.26415094339623
"cycle","8","Chain 6",NA
"stratum","8","Chain 6",NA
"psu","8","Chain 6",NA
"logweight","8","Chain 6",NA
"ra","9","Chain 6",NA
"asthma_aux","9","Chain 6",NA
"age1","9","Chain 6",NA
"age2","9","Chain 6",NA
"age3","9","Chain 6",NA
"sex","9","Chain 6",NA
"race","9","Chain 6",NA
"education","9","Chain 6",4.48837209302326
"pir","9","Chain 6",4.80141236892788
"smoke","9","Chain 6",1.0377358490566
"cycle","9","Chain 6",NA
"stratum","9","Chain 6",NA
"psu","9","Chain 6",NA
"logweight","9","Chain 6",NA
"ra","10","Chain 6",NA
"asthma_aux","10","Chain 6",NA
"age1","10","Chain 6",NA
"age2","10","Chain 6",NA
"age3","10","Chain 6",NA
"sex","10","Chain 6",NA
"race","10","Chain 6",NA
"education","10","Chain 6",2.09302325581395
"pir","10","Chain 6",4.79413652899636
"smoke","10","Chain 6",1.35849056603774
"cycle","10","Chain 6",NA
"stratum","10","Chain 6",NA
"psu","10","Chain 6",NA
"logweight","10","Chain 6",NA
"ra","1","Chain 7",NA
"asthma_aux","1","Chain 7",NA
"age1","1","Chain 7",NA
"age2","1","Chain 7",NA
"age3","1","Chain 7",NA
"sex","1","Chain 7",NA
"race","1","Chain 7",NA
"education","1","Chain 7",1.34883720930233
"pir","1","Chain 7",4.80569227476995
"smoke","1","Chain 7",1
"cycle","1","Chain 7",NA
"stratum","1","Chain 7",NA
"psu","1","Chain 7",NA
"logweight","1","Chain 7",NA
"ra","2","Chain 7",NA
"asthma_aux","2","Chain 7",NA
"age1","2","Chain 7",NA
"age2","2","Chain 7",NA
"age3","2","Chain 7",NA
"sex","2","Chain 7",NA
"race","2","Chain 7",NA
"education","2","Chain 7",2.15116279069767
"pir","2","Chain 7",0.785887010485778
